metric,definition,formula_from_spheroid_rd_model,outcome_predicted,evidence_tier,tumor_type,cohort_size,direction_of_effect,key_citation,doi,computable_from_avascular_spheroid,notes
Tumour growth rate constant KG (a.k.a. g),"Exponential rate constant of the regrowing/net-growing tumour component, fitted to longitudinal tumour burden under therapy.","Fit N(t)=N0*(exp(-KS*t)+exp(KG*t)-1) to simulated total viable burden N(t)=int_0^R 4*pi*r^2*n(r,t) dr over the on-treatment window; or fit log-linear slope of N(t) after the nadir.",Overall survival,A,Metastatic castration-resistant prostate cancer (PSA as burden surrogate),112,"Higher KG -> shorter OS (Pearson r=-0.72 between log(g) and survival; above-median log(g) mortality HR 5.14, 95% CI 3.10-8.52)","Stein WD 2008, The Oncologist",10.1634/theoncologist.2008-0075,yes,Flagship metric. Direction and functional form validated in patients; the numeric value from a spheroid is not on the patient scale.
Tumour growth rate constant KG - external replication,Same two-phase growth/regression rate constants applied across independent randomised trials.,As above; KG estimated per simulated combination.,Overall survival; discriminated active vs inactive agents,A,"Metastatic castration-resistant prostate cancer (8 randomised trials, Project Data Sphere)",2353 of 2678 evaluable,Higher growth rate g -> worse OS; g separated docetaxel from prednisone/mitoxantrone,"Wilkerson J 2017, The Lancet Oncology",10.1016/S1470-2045(16)30633-7,yes,Strongest replication of KG/g. Retrospective pooled analysis.
"Tumour growth rate constant KG (RECIST-based, immunotherapy)",On-treatment tumour growth rate constant estimated from biexponential fit to sum of longest diameters.,Same fit applied to simulated N(t); use a diameter-like surrogate (spheroid outer radius) if a RECIST analogue is wanted.,Overall survival; predicted phase III OS hazard ratio,A,"Non-small cell lung cancer (POPLAR phase II -> OAK phase III, atezolizumab vs docetaxel)",POPLAR + OAK (phase II/III),Slower KG -> longer OS; model predicted OAK HR 0.73 (95% PI 0.63-0.85) vs 0.73 observed,"Claret L 2018, Clinical Cancer Research",10.1158/1078-0432.CCR-17-3662,yes,Notable: PFS was similar between arms while KG separated them - exactly the 'breaks monotonicity with simple response' property we want.
Tumour growth rate constant KG - independent external validation,TGI-OS framework transported to a different drug class and trial.,As above.,Overall survival,A,ALK-positive treatment-naive advanced NSCLC (ALEX: alectinib vs crizotinib),286 of 303 evaluable (94%),Predicted HR 0.612 (95% PI 0.480-0.770) vs 0.625 observed,"Kassir N 2023, Cancer Chemotherapy and Pharmacology",10.1007/s00280-023-04558-z,yes,Confirms KG-OS transportability across drug mechanisms.
Time to tumour growth (TTG),Model-derived time from treatment start to the point where the fitted tumour-size trajectory turns from net shrinkage to net growth.,"Time at which d/dt of simulated N(t) crosses zero from negative to positive (i.e. the nadir time of the fitted biexponential), or first time N(t) exceeds its nadir by a fixed tolerance.",Overall survival,A,"First-line metastatic colorectal cancer (two phase III bevacizumab + chemo trials, Western and Chinese)",923 Western + 203 Chinese,Longer TTG -> longer OS; TTG was the best of the tested tumour-size metrics and fully captured the bevacizumab effect,"Claret L 2013, Journal of Clinical Oncology",10.1200/JCO.2012.45.0973,yes,Best-performing TGI metric in a head-to-head comparison of tumour-size metrics.
Time to growth (replication in a third trial),"As TTG, re-identified as the dominant TGI metric in an independent NSCLC study.",As above.,Overall survival,A,"NSCLC (GEMSTONE-302, sugemalimab)",GEMSTONE-302 phase III,Longer time-to-growth -> longer OS (most significant TGI metric in the study-specific model),"Sheng Y 2023, CPT: Pharmacometrics & Systems Pharmacology",10.1002/psp4.13094,yes,Covariates were baseline metastatic-site count and neutrophil-lymphocyte ratio - neither is spheroid-computable.
Depth of response (DpR) / nadir tumour burden,"Maximum relative reduction in tumour burden from baseline (the continuous nadir depth, not a RECIST category).","DpR = 1 - min_t N(t)/N(0), with N(t) the simulated total viable burden.","Progression-free survival, post-progression survival, overall survival",A,"First-line metastatic colorectal cancer (TRIBE phase III, FOLFOXIRI+bev vs FOLFIRI+bev)",TRIBE phase III landmark population,Deeper response -> longer PFS/PPS/OS; DpR predicted survival as accurately as RECIST response,"Cremolini C 2015, Annals of Oncology",10.1093/annonc/mdv112,yes,"Continuous, cutoff-free - convenient for a Bayesian-optimisation objective."
Depth of response (DpR) - independent series,Same continuous nadir-depth measure reviewed across mCRC trials.,As above.,Progression-free and overall survival,A,Metastatic colorectal cancer (systematic review of trials 2000-2014),10 trials for ETS; 3 of these for DpR,Deeper response -> better outcome,"Heinemann V 2015, European Journal of Cancer",10.1016/j.ejca.2015.06.116,yes,"Review-level; use for the ETS/DpR concept, cite Cremolini/Piessevaux for primary effect sizes."
Early tumour shrinkage (ETS) at a fixed early timepoint,Relative decrease in tumour burden at a prespecified early on-treatment assessment (week 6-8 clinically).,ETS_sim = 1 - N(t_early)/N(0) at a fixed early simulated time (choose t_early as a fixed fraction of the simulated dosing window).,Progression-free survival and overall survival,A,"KRAS wild-type first-line metastatic colorectal cancer (CRYSTAL and OPUS randomised trials, chemo +/- cetuximab)",CRYSTAL and OPUS randomised populations,ETS >= 20% vs < 20%: PFS 14.1 vs 7.3 mo (HR 0.32) and OS 30.0 vs 18.6 mo (HR 0.53) in CRYSTAL; PFS 11.9 vs 5.7 mo (HR 0.22) and OS 26.0 vs 15.7 mo (HR 0.43) in OPUS,"Piessevaux H 2013, Journal of Clinical Oncology",10.1200/JCO.2012.42.8532,yes,Largest published effect sizes of any metric in this table.
Time to nadir,Time from treatment start to the minimum tumour burden.,argmin_t N(t) from the simulated burden trajectory.,Overall survival (indirectly - determined by the kill and growth rate constants),A,Metastatic castration-resistant prostate cancer,112,Analytically determined by the regression (d) and growth (g) constants; the authors treat nadir value and time-to-nadir as surrogates for those constants,"Stein WD 2008, The Oncologist",10.1634/theoncologist.2008-0075,yes,"Report it, but treat it as a derived quantity - it carries no information beyond KS and KG in a two-phase model."
